"","mu2","mu5","mu6","mu7","mu8","mu10","gamma2","gamma5","gamma6","gamma7","gamma8","gamma10","f2","f5","f6","f7","f8","f10","grow"
"mu2",0.00108076982786271,0.00031505326659782,0.0047192000426577,-0.000780997290384799,0.00691762052202767,0.0025187198554703,-0.000428394987189725,0.000909039126325846,-0.00718159759836406,-0.00395902775761333,0.00348287448273305,-0.000391378156268442,0.000826698140115062,-0.000539851548309158,0.000416906909395159,5.7859218716954e-05,-0.000601690670710405,-0.000562911012405835,-0.000725295611687005
"mu5",0.00031505326659782,0.00123404833165909,0.00261383702066363,-0.000985816722926803,0.00373874188460651,0.000977113014968006,-0.000534137537999621,-0.000853141480157279,-0.00413247378212529,-0.000846326075708195,0.000952053921022445,-0.00140844421485136,0.000623526422362075,-0.00100054645440876,0.000937691753471919,0.000400237449486656,-0.000798133041498272,-0.000915450244788942,-0.00129573317440036
"mu6",0.0047192000426577,0.00261383702066363,0.0739664873128696,-0.0107211315570931,0.105037974961427,0.039512479865915,0.00154565598602865,0.0117537971311876,-0.111312950558449,-0.0714438089856956,0.0634477394489961,-0.000637961722665378,0.0155587146566292,-0.00993533008962871,0.00337915052746899,0.000640250402198858,-0.00645744645131521,-0.00954458354344017,-0.00634349096156353
"mu7",-0.000780997290384799,-0.000985816722926803,-0.0107211315570931,0.00520200305916481,-0.0163111958254788,-0.00469801995547532,5.88496511543858e-05,0.0011103244908378,0.015406434826886,0.00977041765025707,-0.00798408865186566,0.00132230499082519,-0.00133086602951353,0.00236023794507159,-0.0012452441953128,-0.00174061997725086,0.00166857475280164,0.00303540160526469,0.00216134057981788
"mu8",0.00691762052202767,0.00373874188460651,0.105037974961427,-0.0163111958254788,0.181797625710875,0.0613867779604298,0.00367878167770822,0.0233948084892859,-0.177471778050735,-0.118087885149044,0.0894440539819683,0.00535205364345852,0.0197117976719325,-0.0134703134589503,0.00506724455341618,0.00325016486968516,-0.0108441438056637,-0.0153838178521553,-0.00564048936131852
"mu10",0.0025187198554703,0.000977113014968006,0.039512479865915,-0.00469801995547532,0.0613867779604298,0.0330911717184363,0.00512643774484098,0.00994256220464106,-0.0676754131926906,-0.0440675225609169,0.0317878918842687,-0.00139777906243426,0.00867184624547872,-0.00144092539953568,0.0022992419740664,-0.00386097381824086,-0.00424663426683153,-0.00264382517926105,0.000368392761852389
"gamma2",-0.000428394987189725,-0.000534137537999621,0.00154565598602865,5.88496511543858e-05,0.00367878167770822,0.00512643774484098,0.0102705989203334,0.00121515778210933,-0.00644026670213439,-0.00796915384476675,0.000806145793331838,0.00270344936444598,0.0018485498853884,0.00208081132070234,-0.00185450411452316,-0.00443066539159604,0.00159298103815369,0.00192332682098596,0.00198904948618826
"gamma5",0.000909039126325846,-0.000853141480157279,0.0117537971311876,0.0011103244908378,0.0233948084892859,0.00994256220464106,0.00121515778210933,0.0135906313878845,-0.0212803591817874,-0.0221699664143668,0.0128842022810072,0.00583710804719377,0.00119842981400933,0.0015672131490373,-0.00158537313696968,-0.00186191950923171,-0.000992476323498816,-0.00137267563073045,-0.000305450319275227
"gamma6",-0.00718159759836406,-0.00413247378212529,-0.111312950558449,0.015406434826886,-0.177471778050735,-0.0676754131926906,-0.00644026670213439,-0.0212803591817874,0.188136918692795,0.116959945440902,-0.0947571883446429,-0.000374229148189635,-0.0221041113852349,0.0141967855228068,-0.00597197230523139,-0.000494637027122813,0.00876203026546244,0.0133936852186343,0.00418484634173903
"gamma7",-0.00395902775761333,-0.000846326075708195,-0.0714438089856956,0.00977041765025707,-0.118087885149044,-0.0440675225609169,-0.00796915384476675,-0.0221699664143668,0.116959945440902,0.0908622279395328,-0.0645866614138755,-0.00979420013960667,-0.0134379465955468,0.00558502765696527,-0.000229703926247933,0.00154380425826454,0.00686390086209081,0.00991136676786893,0.00312879074319622
"gamma8",0.00348287448273305,0.000952053921022445,0.0634477394489961,-0.00798408865186566,0.0894440539819683,0.0317878918842687,0.000806145793331838,0.0128842022810072,-0.0947571883446429,-0.0645866614138755,0.0625502629006249,0.00332220854926029,0.0122711621931623,-0.00839730729248437,0.000767961892222755,0.00189867250572125,-0.00437127507792734,-0.00882815240548528,-0.00287144329252332
"gamma10",-0.000391378156268442,-0.00140844421485136,-0.000637961722665378,0.00132230499082519,0.00535205364345852,-0.00139777906243426,0.00270344936444598,0.00583710804719377,-0.000374229148189635,-0.00979420013960667,0.00332220854926029,0.010102871785161,-0.00144175551451971,0.00110283826749162,-0.00241279702742053,-0.000446343351592572,0.00153679737842254,0.000126620803308043,1.87669005554036e-05
"f2",0.000826698140115062,0.000623526422362075,0.0155587146566292,-0.00133086602951353,0.0197117976719325,0.00867184624547872,0.0018485498853884,0.00119842981400933,-0.0221041113852349,-0.0134379465955468,0.0122711621931623,-0.00144175551451971,0.00777403476470447,-0.00141219255049938,0.00032242666173419,-0.00270196133819696,-0.00258774235408363,-0.00146690211424112,-0.0016662158803336
"f5",-0.000539851548309158,-0.00100054645440876,-0.00993533008962871,0.00236023794507159,-0.0134703134589503,-0.00144092539953568,0.00208081132070234,0.0015672131490373,0.0141967855228068,0.00558502765696527,-0.00839730729248437,0.00110283826749162,-0.00141219255049938,0.00445072053130573,-0.00164590647352142,-0.0025997287936868,-2.865880191439e-05,0.00212093336540811,0.00238864588279487
"f6",0.000416906909395159,0.000937691753471919,0.00337915052746899,-0.0012452441953128,0.00506724455341618,0.0022992419740664,-0.00185450411452316,-0.00158537313696968,-0.00597197230523139,-0.000229703926247933,0.000767961892222755,-0.00241279702742053,0.00032242666173419,-0.00164590647352142,0.00261085835652238,0.00105920883677035,-0.00100027091923993,-0.000785747704338423,-0.000737891578863298
"f7",5.7859218716954e-05,0.000400237449486656,0.000640250402198858,-0.00174061997725086,0.00325016486968516,-0.00386097381824086,-0.00443066539159604,-0.00186191950923171,-0.000494637027122813,0.00154380425826454,0.00189867250572125,-0.000446343351592572,-0.00270196133819696,-0.0025997287936868,0.00105920883677035,0.0054363475938317,-0.000457313998222514,-0.00228256719961987,-0.000404852179045047
"f8",-0.000601690670710405,-0.000798133041498272,-0.00645744645131521,0.00166857475280164,-0.0108441438056637,-0.00424663426683153,0.00159298103815369,-0.000992476323498816,0.00876203026546244,0.00686390086209081,-0.00437127507792734,0.00153679737842254,-0.00258774235408363,-2.865880191439e-05,-0.00100027091923993,-0.000457313998222514,0.00485596802966291,0.00231278374991962,0.00127549564775834
"f10",-0.000562911012405835,-0.000915450244788942,-0.00954458354344017,0.00303540160526469,-0.0153838178521553,-0.00264382517926105,0.00192332682098596,-0.00137267563073045,0.0133936852186343,0.00991136676786893,-0.00882815240548528,0.000126620803308043,-0.00146690211424112,0.00212093336540811,-0.000785747704338423,-0.00228256719961987,0.00231278374991962,0.00448714515169842,0.00224532116035118
"grow",-0.000725295611687005,-0.00129573317440036,-0.00634349096156353,0.00216134057981788,-0.00564048936131852,0.000368392761852389,0.00198904948618826,-0.000305450319275227,0.00418484634173903,0.00312879074319622,-0.00287144329252332,1.87669005554036e-05,-0.0016662158803336,0.00238864588279487,-0.000737891578863298,-0.000404852179045047,0.00127549564775834,0.00224532116035118,0.00743699057579169
